STATION,NAME,DATE,AWND,DAPR,EVAP,MDPR,MNPN,MXPN,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WDMV,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/18/2018,13.2,,,,,,,1.01,0,0,66,69,57,,50,40,,,,23,29.1,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/19/2018,6.26,,,,,,,0.77,0,0,61,72,57,,60,60,,,,16.1,19,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/20/2018,8.28,,,,,,,0,0,0,76,89,68,,260,260,,,,16.1,19.9,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/21/2018,8.28,,,,,,,0,0,0,75,82,67,,130,130,,,,15,19,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/22/2018,6.26,,,,,,,1.23,0,0,70,80,65,,320,320,,,,18.1,23,1,,1,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/23/2018,9.84,,,,,,,0,0,0,74,83,66,,330,330,,,,25.1,31.1,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/24/2018,5.82,,,,,,,0,0,0,74,87,63,,360,360,,,,14.1,15,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/25/2018,9.62,,,,,,,0,0,0,74,86,63,,210,200,,,,19.9,23.9,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/26/2018,8.72,,,,,,,0.03,0,0,78,87,71,,210,220,,,,21.9,25.9,,,1,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/27/2018,8.05,,,,,,,0,0,0,78,85,68,,40,40,,,,17,19.9,1,,1,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/28/2018,7.16,,,,,,,0.01,0,0,68,72,64,,50,50,,,,15,18.1,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",5/29/2018,4.47,,,,,,,0,0,0,74,83,69,,180,180,,,,12.1,13,1,1,,,,,1,,
